School ID	Course ID	Course Name	Departments	Term	Year	Level	Special Topic	Description	Syllabus	Text IDs	PreReqs	Concepts
1	PHYS 373	Quantum Information and Quantum Computing	PHYS	Fall	2020	UG	No	Quantum Mechanics is well known for its counterintuitive and seemingly paradoxical predictions. Despite its failure to give us a clear, intuitive picture of the world, the theory is remarkably successful at predicting the outcomes of experiments, although those predictions are probabilistic rather than deterministic. Because of its unparalleled success, the thorny issues about the theory's foundations were often ignored during its first fifty years. Recent advances in both theory and experiment have again brought these issues to the fore. This course will review some of the most interesting and intriguing facets of quantum mechanics and its potential applications to information and computing. Topics to be covered will include the Schrödinger cat paradox and the quantum measurement problem; Bell's inequalities, entanglement, and related phenomena that establish the “weirdness” of quantum mechanics; secure communication using quantum cryptography; and how quantum computers (if built) can solve certain problems much more efficiently than classical ones. We will also explore recent experiments in which quantum phenomena appear on the macroscopic scale, as well as technological progress towards building a large-scale, general-purpose quantum computer. The early part of the semester will consist of synchronous and asynchronous lectures with multiple "clicker" questions. The later part of the course will be taught seminar style with in-depth reading and discussion of research articles.			Modern Physics	quantum measurement, Bell's Theorem, entanglement, quantum cryptography, quantum computers
2	PHYS 309	Quantum Computing	PHYS	Fall	2020	UG	No	In the emerging field of quantum computing, the laws of nature are used to store and process information in new ways. Leveraging the extraordinary properties of quantum mechanics enables an exponential speed-up for certain classes of computational problems. In this course students are introduced to the ideas of the qubit, quantum gates, and quantum circuits; learn about experimental progress; explore quantum algorithms; and implement their own code on quantum cloud computing resources.			Quantum Physics	qubits, quantum gates, quantum circuits, quantum algorithms, quantum computing, programming
3	CS/PY 536	Quantum Computing	PHYS, CS	Fall	2019	GR	No	Quantum physics as a powerful computational paradigm. Quantum bits (qubits), qubit operations and quantum gates, computation, and algorithms. Computational complexity classes, and efficiency of classical vs. quantum computers. Quantum Fourier transform and Shor's factorization algorithm. Physical implementation of quantum computation.	http://physics.bu.edu/syllabi/py536.pdf	1	Algorithms, Modern Physics	qubits, qubit operations, quantum gates, quantum computation, quantum algorithms, quantum complexity, quantum computers, quantum Fourier transform, Shor's algorithm, physical implementation, quantum search algorithms, decoherence, topological quantum computing, quantum information, quantum cryptography, Von Neumann entropy
4	CISC 7228	Quantum Computing	CS			GR	No	An introduction to quantum computing. Basic mathematical and physical background for quantum computing. Grover's search algorithm. Shor's factoring algorithm. Quantum cryptography. Quantum complexity. Physical implementations of quantum computers	https://www.brooklyn.cuny.edu/web/aca_naturalsciences_cis/CISC_7228.pdf	1,2,3	Algorithms	quantum computing, Grover's algorithm, Shor's algorithm, quantum cryptography, quantum complexity, physical implementation, quantum computers, quantum algorithms, entanglement, quantum measurement, Dirac notation, superposition, qubits, quantum gates, Deutsch's algorithm, Deutsch-Jozsa algorithm, Simon's algorithm, Turing machines, ion traps
5	Ph/CS219	Quantum Computation	PHYS, CS	Fall	2020	GR	No	The theory of quantum information and quantum computation. Overview of classical information theory, compression of quantum information, transmission of quantum information through noisy channels, quantum entanglement, quantum cryptography. Overview of classical complexity theory, quantum complexity, efficient quantum algorithms, quantum error-correcting codes, fault-tolerant quantum computation, physical implementations of quantum computation.	http://www.theory.caltech.edu/~preskill/ph219/			quantum information, quantum computation, entanglement, quantum cryptography, quantum complexity, quantum algorithms, error correction, fault tolerance, physical implementation, decoherence, quantum computers, ion traps
6	CS 292F	Quantum Information and Quantum Computation	CS	Winter	2019	GR	Yes	This course gives an introduction to quantum computing with an emphasis on the computer science part of the field. Topics that will be covered are: elementary quantum mechanics, quantum information, quantum gates and circuits, quantum circuit complexity, teleportation, quantum cryptography, Shor's quantum algorithm for factoring integers and discrete logarithms, Grover's quantum searching algorithm, lower bounds in quantum computation, and the future of the field				quantum computers, quantum mechanics, quantum information, quantum gates, quantum complexity, teleportation, quantum cryptography, Shor's algorithm, Grover's algorithm, quantum complexity, quantum algorithms
6	INT CS 10	FULL-STACK QUANTUM COMPUTATION	Other	Spring	2020	UG	No	This interdisciplinary course is targeted towards undergraduates in computer science, physics, and math. It is designed to allow students to gain familiarity with principles across the full quantum computing stack so that they have some background should they wish to get up to speed on cutting-edge developments in the field. No prerequisites necessary; if you would like suggested reading material, please email lia_yeh@ucsb.edu. The quantum computing “stack" consists of: -Quantum devices and materials; -Quantum computer architecture; -Quantum programming languages and compilation; -Quantum information and algorithms; -Applications (e.g. chemistry, machine learning, finance); -Key players and funding sources. The course is designed to give many opportunities for (and require for earning 2 units) students to present in-class, which is very CCS-esque.	https://ccs.ucsb.edu/courses/2020/spring/full-stack-quantum-computation			quantum devices, quantum computation, quantum computers, quantum programming languages, programming, quantum information, quantum algorithms
8	CS 358	Quantum Computing	CS	Spring	2020	UG	No	Quantum computing is a promising technology that may (or may not) revolutionize computer science over the next few decades. By exploiting quantum phenomena such as superposition and entanglement, quantum computers can solve problems in a fundamentally different way from that of conventional computers. This course surveys the computer science and mathematics of quantum algorithms, including Shor's and Grover's algorithms, error correction, and cryptography. No prior experience with quantum theory is needed.	http://www.joshuadavis.us/teaching/2020s358/index.html	8	Data Structures, Linear Algebra	quantum computing, superposition, entanglement, quantum computers, quantum algorithms, Shor's algorithm, Grover's algorithm, error correction, quantum cryptography, quantum measurement, programming, quantum gates, no cloning theorem, qubits, Deutsch's algorithm, Bernstein-Vazirani algorithm, Simon's algorithm,
9	33-658/758	Quantum Computation and Quantum Information Theory	PHYS, CS	Fall	2020	UG, GR	No	This course, taught in collaboration with the Computer Science Department, provides an overview of recent developments in quantum computation and quantum information theory. The topics include: an introduction to quantum mechanics, quantum channels, both ideal and noisy, quantum cryptography, an introduction to computational complexity, Shor's factorization algorithm, Grover's search algorithm, and proposals for the physical realization of quantum devices, such as correlated photons, ions in traps, and nuclear magnetic resonance. The course includes a weekly seminar.		1	Quantum Physics	quantum computation, quantum information, quantum mechanics, quantum channels, quantum cryptography, quantum complexity, Shor's algorithm, Grover's algorithm, physical implementation, quantum algorithms
9	15-459	Undergraduate Quantum Computation	CS	Fall	2020	UG	No	This undergraduate course will be an introduction to quantum computation and quantum information theory, from the perspective of theoretical computer science. Topics include: Qubit operations, multi-qubit systems, p=artial measurements, entanglement, quantum teleportation and quantum money, quantum circuit model, Deutsch-Jozsa and Simons algorithm, number theory and Shors Algorithm, Grovers Algorithm, quantum complexity theory, limitations and current practical developments.			Data Structures, Statistics, Linear Algebra	quantum computation, quantum information, qubits, quantum measurement, entanglement, teleportation, quantum gates, Deutsch-Jozsa algorithm, Simon's algorithm, quantum algorithms, Shor's algorithm, Grover's algorithm, quantum complexity
10	CS201	Quantum Computing	CS	Spring	2020	UG	Yes	One of the most exciting developments in computing history, which has only arisen in the past quarter century, is that computers that make direct use of the laws of quantum mechanics would be dramatically faster than their classical counterparts. This course will study the most important elements of this still emerging field of study, including Shor's quantum algorithm for factoring integers (for which no classical algorithms are known), Grover's quantum search of an unsorted database, which gives a quadratic speedup over any classical algorithm, and other algorithms related to these. Thus the strangest aspects of quantum theory, e.g. superposition and entanglement, are found to be not only fascinating and puzzling, but also useful! The course will also explore very basic elements of the burgeoning field of quantum information theory: superdense coding, quantum cryptography, and quantum teleportation.	https://mathcs.clarku.edu/~fgreen/courses/cs201/index.html	4	Algorithms	quantum algorithms, quantum computation, Shor's algorithm, Grover's algorithm, quantum complexity, superposition, entanglement, quantum information, superdense coding, quantum cryptography, teleportation, qubits, error correction
11	MA/CS 469, CS 569	Quantum Information and Computation	MATH, CS	Spring	2019	UG, GR	No	This course studies information and computation based on quantum mechanical laws. The first part of the course will cover the relevant background in quantum information theory. A briefover discussion of several universal quantum computational models will be given. The second part will cover algorithmic techniques important for developing quantum algorithms. Topics to be covered include amplitude amplification, quantum walks, phase estimation, hidden subgroup problems, and quantum protocols. Background in physics would be helpful but is not required.	https://afsweb.clarkson.edu/class/cs469/469-s19.html	1,5	Linear Algebra, Algorithms, Data Structures	quantum information, quantum computation, quantum algorithms, amplitude amplification, quantum walks, phase estimation, hidden subgroups, quantum protocols, qubits, quantum gates, quantum measurement, no cloning theorem, Bell states, Bernstein-Vazirani algorithm, Simon's algorithm, Grover's algorithm, Shor's algorithm, HHL algorithm, mixed states, density matrices, partial trace
12	CSCI591	QUANTUM PROGRAMMING	CS			GR	No	This course serves as an introduction to programming quantum computers. Students will receive an in depth education in quantum algorithms and their design, and then break into teams to learn the API of a commercially available quantum computing system. They will use this system to write and test simple quantum algorithms, and debug their code to improve its performance against noise and other error sources			Quantum Information	programming, quantum computers, quantum algorithms, error correction
