ID	School	State	Level	Departments	Special   Topic
1	Amherst College	MA	UG	PHYS	No
2	Bates College	ME	UG	PHYS	No
3	Boston University	MA	GR	PHYS, CS	No
4	Brooklyn College	NY	GR	CS	No
5	Cal Tech	CA	GR	CS, PHYS	No
6	University of California, Santa Barbara	CA	UG	CS, OTHER	Yes, No
7	Captiol Technology University	MD	PhD	CS	No
8	Carleton College	MN	UG	CS	No
9	Carnegie Mellon University	PA	UG, GR	PHYS, CS	No
10	Clark University	MA	UG	CS	Yes
11	Clarkson University	NY	UG, GR	CS, MATH	No
12	Colorado School of Mines	CO	UG, GR	PHYS, CS	Yes, No
13	Columbia University	NY	UG, GR	CS	Yes, No
14	Cornell University	NY	UG, GR	CS, PHYS	No
15	Dartmouth College	NH	UG, GR	PHYS	No
16	University of California, Davis	CA	GR	ENG	Yes
17	Duke University	NC	GR	ENG	Yes, No
18	Emory University (Special Topic)	GA	GR	CS, PHYS	Yes
19	George Mason University	VA	UG, GR	PHYS	No
20	Georgia Tech	GA	UG, GR	PHYS, MATH, ENG	Yes, No
21	Harrisburg University of Science and Technology	PA	GR	Other	No
22	Harvard	MA	UG, GR	PHYS, CS, ENG	No
23	Harvey Mudd College	CA	UG	PHYS	No
24	Indiana University – Bloomington	IN	UG, GR	PHYS, MATH	No
25	Iowa State University	IA	UG, GR	PHYS	Yes
26	John Hopkins University	MD	GR	PHYS	No
27	Lehman College, CUNY	NY	UG	PHYS, CS	No
28	Louisiana State University	LA	GR	PHYS	No
29	Mercer University	GA	UG	PHYS	No
30	Middlebury College	VT	UG	CS	No
31	Massachusetts Institute of Technology	MA	UG, GR	PHYS, CS, ENG, MATH	No
32	Naval Post-Graduate School	CA	GR	PHYS, CS	No
33	New Mexico State University	NM	UG	CS	Yes
34	New York City College of Technology	NY	UG	PHYS	No
35	New York University	NY	GR	CS	No
36	North Carolina State University	NC	GR	CS, ENG	Yes
37	Northwestern University	IL	UG	ENG	Yes
38	Oklahoma State University	OK	GR	CS	No
39	Pace University	NY	GR	CS	No
40	Portland State University	OR	UG, GR	CS	Yes
41	Princeton University	NJ	UG, GR	ENG, CS	No
42	Purdue University	IN	GR	PHYS	No
43	Purdue University – Fort Wayne	IN	UG	PHYS	No
44	Queens College, CUNY	NY	UG	CS	Yes
45	Reed College	OR	UG	PHYS	No
46	Regis University	CO	UG	CS	Yes
47	Rensselaer Polytechnic Institute	NY	UG	CS	No
48	Rutgers University	NJ	UG	PHYS	Yes
49	San Jose State University	CA	UG	ENG	No
50	Santa Clara University	CA	UG	MATH	No
51	Sarah Lawrence College	NY	UG	CS	No
52	South Dakota School of Mines and Technology	SD	GR	PHYS	No
53	Southern Illinois University Carbondale	IL	GR	PHYS	Yes
54	Southern Methodist University	TX	GR	CS	No
55	Stanford University	CA	UG, GR	CS, ENG	No
56	Stony Brook University	NY	GR	PHYS, CS	No
57	Stevens Institute of Technology	NJ	GR	PHYS, MATH	No
58	Syracuse University	NY	UG, GR	CS, PHYS	No
59	Temple University	PA	GR	PHYS	No
60	Texas A&M University	TX	UG, GR	MATH, CS, PHYS, ENG	No
61	The New School (Fall '20 course)	NY	UG	Other	No
62	Tulane University	LA	UG, GR	PHYS, ENG	No
63	University of Arizona	AZ	GR	Other	No
64	University at Albany, SUNY	NY	GR	CS	No
65	University of Bridgeport	CT	PhD	CS	No
66	University at Buffalo	NY	UG, GR	CS, ENG	No
67	University of California, Berkeley	CA	UG	CHEM/CS/PHYS	No
68	University of California, Irvine	CA	GR	CS	No
69	University of California, Merced	CA	UG	PHYS	No
70	University of California, Riverside	CA	GR	PHYS, ENG	No
71	University of California, Santa Cruz	CA	UG	PHY	No
72	University of Central Florida	FL	GR	CS	No
73	University of Chicago	IL	UG, GR	CS, MATH, PHYS, END	No
74	University of Cincinnati	OH	GR	PHYS	No
75	University of Colorado Boulder	CO	UG	CS	No
76	University of Connecticut	CT	GR	CS	No
77	University of Delaware	DE	GR	PHYS	No
78	University of Florida	FL	GR	CS	No
79	University of Illinois at Chicago	IL	GR	CS	No
80	University of Illinois at Urbana-Champaign	IL	GR	PHYS	No
81	University of Indianapolis	IN	UG	CS	Yes
82	University of Maryland	MD	UG,GR	CS	No
83	University of Maryland, Baltimore County	MD	UG, GR	CS	No
84	University of Massachusetts Amherst	MA	GR	CS	Yes
85	University of Miami	FL	GR	CS	Yes
86	University of Michigan	MI	GR	CS/ENG	No
87	University of Minnesota	MN	UG	CS	No
88	University of Nebraska at Omaha	NE	GR	Other	No
89	University of New Mexico	NM	GR	PHYS	No
90	University of North Carolina at Chapel Hill	NC	UG	CS	No
91	University of North Carolina at Charlotte	NC	GR	Other	No
92	University of Notre Dame	IN	UG, GR	Eng	No
93	University of Oklahoma	OK	GR	Eng/Other	No
94	University of Pennsylvania	PA	UG	CS	No
95	University of South Carolina	SC	GR	CS	No
96	University of South Florida	FL	UG, GR	CS	No
97	University of Tennessee	TN	UG, GR	PHYS, ENG, CS/CHEM	No
98	University of Texas at Austin	TX	UG	CS/MATH/PHYS, Other	No
99	UT-Dallas	TX	GR	MATH	No
100	University of Rochester	NY	UG	CS	Yes
101	University of Southern California	CA	GR	PHYS, ENG	No
102	University of Vermont	VT	UG	PHYS	No
103	University of Virginia	VA	GR	PHYS	No
104	University of Washington	WA	UG	CS	No
105	University of Wisconsin-Madison	WI	GR	PHYS	No
106	Virginia Commonwealth University	VA	UG	CS	No
107	Virginia Tech University	VA	UG, GR	PHYS	No
108	Wake Forest University	NC	UG, GR	PHYS	Yes
109	Washington University at St. Louis	MO	UG, GR	CS	No
110	Wayne State University	MI	GR	PHYS	No
111	Wichita State University	KS	UG, GR	MATH, ENG	No
112	Widener University	PA	GR	CS	No
